zip,state,city,lat,lon
02030,MA,Dover,42.23888,-71.28241
02032,MA,East Walpole,42.153912,-71.21362
02035,MA,Foxboro,42.061427,-71.24232
02038,MA,Franklin,42.089104,-71.4069
02041,MA,Green Harbor,42.0775,-70.65
02043,MA,Hingham,42.225708,-70.88764
02044,MA,Hingham,42.2039,-70.8789
02045,MA,Hull,42.286347,-70.87663
02048,MA,Mansfield,42.019982,-71.2191
02050,MA,Marshfield,42.109763,-70.69172
02051,MA,Marshfield,42.1459,-70.7405
02052,MA,Medfield,42.185571,-71.30476
02053,MA,Medway,42.151526,-71.42315
02054,MA,Millis,42.166398,-71.36178
02056,MA,Norfolk,42.111836,-71.32855
02059,MA,Marshfield,42.1434,-70.7705
02060,MA,North Scituate,42.22,-70.79
02061,MA,Norwell,42.15243,-70.8205
02062,MA,Norwood,42.185974,-71.20166
02065,MA,Marshfield,42.0918,-70.7061
02066,MA,Scituate,42.205038,-70.7513
02067,MA,Sharon,42.113749,-71.17923
02071,MA,South Walpole,42.101406,-71.27239
02072,MA,Stoughton,42.125432,-71.10627
02081,MA,Walpole,42.145237,-71.25375
02090,MA,Westwood,42.212949,-71.20735
02093,MA,Wrentham,42.0597,-71.34617
020HH,MA,,42.157445,-70.76329
02101,MA,Boston,42.3586,-71.0605
02102,MA,Boston,42.3586,-71.0605
02103,MA,Boston,42.3586,-71.0605
02104,MA,Boston,42.3586,-71.0605
02105,MA,Boston,42.3586,-71.0605
02106,MA,Boston,42.3586,-71.0605
02107,MA,Boston,42.3586,-71.0605
02108,MA,Boston,42.357903,-71.06408
02109,MA,Boston,42.361477,-71.05417
02110,MA,Boston,42.356532,-71.05365
02111,MA,Boston,42.349838,-71.06101
02112,MA,Boston,42.3586,-71.0605
02113,MA,Boston,42.365028,-71.05636
02114,MA,Boston,42.361792,-71.06774
02115,MA,Boston,42.34308,-71.09268
02116,MA,Boston,42.349622,-71.07372
02117,MA,Boston,42.3586,-71.0605
02118,MA,Roxbury,42.338724,-71.07276
02119,MA,Roxbury,42.324511,-71.08455
02120,MA,Roxbury,42.332099,-71.09651
02121,MA,Dorchester,42.307448,-71.08127
02122,MA,Dorchester,42.296298,-71.05454
02123,MA,Boston,42.3586,-71.0605
02124,MA,Dorchester,42.28713,-71.07156
02125,MA,Dorchester,42.316852,-71.05811
